Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mikal Bridges,26,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
2,Devin Booker,26,53,53,34.6,9.9,20.1,.494,2.1,6.0,.351,7.8,14.2,.554,.546,5.8,6.8,.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8
3,Kevin Durant,34,8,8,33.6,9.1,16.0,.570,2.8,5.1,.537,6.4,10.9,.586,.656,5.0,6.0,.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0
4,Chris Paul,37,59,59,32.0,5.0,11.3,.440,1.7,4.4,.375,3.3,6.9,.482,.513,2.3,2.7,.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,13.9
5,Deandre Ayton,24,67,67,30.4,7.8,13.2,.589,0.1,0.4,.292,7.7,12.9,.597,.592,2.3,3.0,.760,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0
6,Cameron Johnson,26,17,16,25.2,4.8,10.2,.474,2.6,5.8,.455,2.2,4.4,.500,.604,1.6,1.9,.818,0.8,3.0,3.8,1.5,0.9,0.4,0.6,1.7,13.9
7,Torrey Craig,32,79,60,24.7,2.9,6.3,.456,1.3,3.2,.395,1.6,3.1,.518,.556,0.4,0.6,.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4
8,Damion Lee,30,74,5,20.4,2.7,6.1,.442,1.5,3.3,.445,1.2,2.8,.439,.564,1.3,1.4,.904,0.5,2.5,3.0,1.3,0.4,0.1,1.1,1.6,8.2
9,Cameron Payne,28,48,15,20.2,3.9,9.4,.415,1.4,3.9,.368,2.5,5.6,.448,.490,1.0,1.3,.766,0.3,2.0,2.2,4.5,0.7,0.2,1.7,1.8,10.3
10,Landry Shamet,25,40,9,20.2,2.8,7.5,.377,1.9,5.0,.377,1.0,2.5,.376,.502,1.1,1.3,.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7
11,Josh Okogie,24,72,26,18.8,2.3,5.8,.391,0.9,2.7,.335,1.3,3.0,.442,.471,1.9,2.7,.724,1.5,2.0,3.5,1.5,0.8,0.5,0.9,1.6,7.3
12,Terrence Ross,31,21,0,18.4,3.4,7.9,.428,1.6,4.7,.347,1.8,3.2,.544,.530,0.6,0.7,.857,0.6,2.7,3.3,2.0,0.5,0.1,0.3,2.1,9.0
13,Saben Lee,23,23,1,15.8,2.0,5.1,.393,0.5,1.3,.379,1.5,3.8,.398,.440,1.8,2.5,.737,0.6,1.4,2.0,2.8,0.8,0.0,0.9,1.3,6.3
14,Ish Wainright,28,60,2,15.3,1.4,3.8,.370,1.0,2.9,.329,0.5,0.9,.500,.496,0.4,0.5,.839,0.8,1.6,2.3,0.9,0.6,0.4,0.4,2.0,4.2
15,Dario Šarić,28,37,12,14.4,2.1,4.8,.427,0.7,1.9,.391,1.3,2.9,.450,.503,1.0,1.2,.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8
16,Bismack Biyombo,30,61,14,14.3,2.0,3.4,.578,0.0,0.0,,2.0,3.4,.578,.578,0.4,1.1,.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3
17,Jock Landale,27,69,4,14.2,2.6,4.9,.528,0.3,1.2,.250,2.3,3.7,.621,.559,1.1,1.5,.752,1.7,2.3,4.1,1.0,0.2,0.4,0.9,1.8,6.6
18,Duane Washington Jr.,22,31,3,12.7,3.0,8.3,.367,1.3,3.6,.360,1.7,4.7,.372,.445,0.5,0.8,.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9
19,T.J. Warren,29,16,0,12.3,1.9,4.4,.429,0.4,1.2,.316,1.5,3.2,.471,.471,0.1,0.1,.500,0.8,2.3,3.1,0.7,0.4,0.3,0.2,1.3,4.2
20,Darius Bazley,22,7,0,8.7,1.7,3.6,.480,0.3,1.1,.250,1.4,2.4,.588,.520,0.3,0.7,.400,0.7,1.6,2.3,0.9,0.4,0.7,0.7,1.3,4.0
