 G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 19 2022,9:00p,,Box Score,@,Utah Jazz,L,,102,123,0,1,L 1,
2,Fri Oct 21 2022,10:00p,,Box Score,@,Golden State Warriors,W,,128,123,1,1,W 1,
3,Sat Oct 22 2022,9:00p,,Box Score,,Oklahoma City Thunder,W,,122,117,2,1,W 2,
4,Mon Oct 24 2022,10:00p,,Box Score,@,Portland Trail Blazers,L,,110,135,2,2,L 1,
5,Wed Oct 26 2022,10:00p,,Box Score,,Los Angeles Lakers,W,,110,99,3,2,W 1,
6,Fri Oct 28 2022,9:00p,,Box Score,,Utah Jazz,W,,117,101,4,2,W 2,
7,Sun Oct 30 2022,9:30p,,Box Score,@,Los Angeles Lakers,L,,110,121,4,3,L 1,
8,Thu Nov 3 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,122,110,5,3,W 1,
9,Sat Nov 5 2022,9:00p,,Box Score,,San Antonio Spurs,W,,126,101,6,3,W 2,
10,Mon Nov 7 2022,9:30p,,Box Score,@,San Antonio Spurs,W,,115,109,7,3,W 3,
11,Wed Nov 9 2022,7:00p,,Box Score,@,Indiana Pacers,W,,122,119,8,3,W 4,
12,Fri Nov 11 2022,7:00p,,Box Score,@,Boston Celtics,L,,112,131,8,4,L 1,
13,Sun Nov 13 2022,8:00p,,Box Score,@,Chicago Bulls,W,,126,103,9,4,W 1,
14,Wed Nov 16 2022,10:00p,,Box Score,,New York Knicks,L,,103,106,9,5,L 1,
15,Fri Nov 18 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,99,127,9,6,L 2,
16,Sun Nov 20 2022,7:30p,,Box Score,@,Dallas Mavericks,W,,98,97,10,6,W 1,
17,Tue Nov 22 2022,9:00p,,Box Score,,Detroit Pistons,L,,108,110,10,7,L 1,
18,Wed Nov 23 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,OT,131,126,11,7,W 1,
19,Fri Nov 25 2022,10:30p,,Box Score,@,Los Angeles Clippers,W,,114,104,12,7,W 2,
20,Mon Nov 28 2022,9:00p,,Box Score,,Houston Rockets,W,,129,113,13,7,W 3,
21,Wed Nov 30 2022,9:00p,,Box Score,,Houston Rockets,W,,120,100,14,7,W 4,
22,Fri Dec 2 2022,7:30p,,Box Score,@,Atlanta Hawks,L,,109,117,14,8,L 1,
23,Sun Dec 4 2022,3:30p,,Box Score,@,New Orleans Pelicans,L,,106,121,14,9,L 2,
24,Tue Dec 6 2022,10:00p,,Box Score,,Dallas Mavericks,L,,115,116,14,10,L 3,
25,Thu Dec 8 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,121,120,15,10,W 1,
26,Sat Dec 10 2022,9:00p,,Box Score,,Utah Jazz,W,,115,110,16,10,W 2,
27,Wed Dec 14 2022,9:00p,,Box Score,,Washington Wizards,W,,141,128,17,10,W 3,
28,Fri Dec 16 2022,10:00p,,Box Score,@,Los Angeles Lakers,L,,108,126,17,11,L 1,
29,Sun Dec 18 2022,8:00p,,Box Score,,Charlotte Hornets,W,,119,115,18,11,W 1,
30,Tue Dec 20 2022,10:00p,,Box Score,,Memphis Grizzlies,W,,105,91,19,11,W 2,
31,Fri Dec 23 2022,9:00p,,Box Score,,Portland Trail Blazers,W,,120,107,20,11,W 3,
32,Sun Dec 25 2022,10:30p,,Box Score,,Phoenix Suns,W,OT,128,125,21,11,W 4,
33,Tue Dec 27 2022,10:00p,,Box Score,@,Sacramento Kings,W,,113,106,22,11,W 5,
34,Wed Dec 28 2022,10:00p,,Box Score,@,Sacramento Kings,L,,126,127,22,12,L 1,
